score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
0.050739,272.1422,96.3197,44.0918,100.0,272142227943.421,624,3667.6,268604.0,34,1.45,9.7,9.81,front_heavy,29.41,29.41,flat
0.050731,199.2086,80.0878,20.5002,100.0,199208606283.8281,557,4286.4,268604.0,35,2.5,5.38,8.56,random,10.06,48.17,pyramid
0.050201,368.8734,229.4643,16.4565,100.0,368873397635.8454,1288,1853.7,158900.0,35,2.1,3.17,4.13,random,6.01,52.46,pyramid
0.050162,301.9079,112.4793,39.8314,100.0,301907914518.5226,661,3462.3,268608.0,35,1.5,8.33,9.75,back_heavy,28.57,28.57,flat
0.050116,1310.8774,443.8353,31.0636,100.0,1310877427661.402,1442,1656.0,267832.0,32,1.5,2.4,2.42,back_heavy,8.45,52.83,random
0.049925,215.5341,56.2864,23.9746,100.0,215534096769.3352,1532,1558.7,102417.0,31,1.8,2.97,5.3,random,4.43,60.09,linear_increase
0.049896,135.8815,66.9945,24.5225,100.0,135881486863.3248,781,3058.3,159600.0,33,1.8,1.99,8.49,front_heavy,7.79,54.22,pyramid
0.049857,689.7357,227.7249,31.8354,100.0,689735651098.384,1049,2277.1,267832.0,35,1.6,3.31,8.11,linear,28.57,28.57,flat
0.049848,264.7655,112.7332,30.7748,100.0,264765452905.3381,1079,2213.7,161332.0,32,1.5,5.23,5.53,random,13.11,49.39,linear_increase
0.049815,2191.6978,599.9924,27.994,100.0,2191697753143.198,1481,1612.8,338289.0,35,1.8,1.09,2.29,back_heavy,2.86,59.16,random
0.049815,253.7467,85.2476,21.9034,100.0,253746709542.624,1667,1432.5,102239.0,32,1.6,0.27,3.72,front_heavy,5.85,89.63,geometric_increase
0.04979,137.3665,60.7061,32.4833,100.0,137366535636.2187,1333,1792.0,94124.0,31,1.3,7.18,8.15,linear,6.83,59.39,pyramid
0.049599,231.1807,120.4951,16.5464,100.0,231180728254.8864,1026,2327.5,158900.0,33,2.4,1.02,5.1,random,3.99,99.15,geometric_increase
0.049588,311.7297,113.6319,29.6092,100.0,311729712256.4735,705,3387.2,268563.0,31,1.9,1.89,7.11,front_heavy,18.83,45.68,linear_increase
0.049487,178.0509,113.0839,13.3062,100.0,178050934667.588,904,2641.6,158450.0,31,2.5,5.37,7.87,geometric,3.42,63.02,pyramid
0.049472,455.7154,169.1893,36.4195,100.0,455715384594.048,856,2790.5,267828.0,31,1.45,6.18,6.29,random,32.26,32.26,flat
0.049455,160.712,55.4438,20.3961,100.0,160711994750.4446,507,4711.4,268580.0,29,3.0,5.08,6.18,front_heavy,6.63,97.62,geometric_increase
0.049254,309.2992,122.1929,42.4947,100.0,309299155920.8594,692,3389.6,268605.0,31,1.35,5.65,8.92,front_heavy,32.26,32.26,flat
0.049202,865.0695,438.7033,17.0111,100.0,865069517424.4725,237,9313.0,1234871.0,32,4.0,3.26,4.92,linear,14.34,52.76,random
0.049144,228.2725,101.7208,54.2924,100.0,228272507817.5208,1001,2385.6,162589.0,34,0.95,0.97,8.04,front_heavy,10.13,46.26,random
0.049033,663.1213,225.8596,19.7319,100.0,663121264455.191,1037,2302.8,267798.0,33,2.5,2.1,6.88,geometric,8.88,51.73,linear_increase
0.048995,352.4076,145.2098,40.1343,100.0,352407584209.116,754,3167.1,268603.0,29,1.3,7.77,7.8,front_heavy,34.48,34.48,flat
0.048975,102.593,22.8402,19.2712,100.0,102592978967.4663,1962,1216.9,55697.0,32,1.65,4.15,9.69,back_heavy,1.47,61.03,linear_increase
0.048912,50.1737,26.1554,20.9511,100.0,50173663368.0945,935,2525.2,80876.0,35,1.65,6.55,9.39,front_heavy,2.51,56.16,pyramid
0.048659,392.7942,151.6464,36.6231,100.0,392794216226.3321,799,2989.6,268608.0,29,1.5,1.98,7.47,front_heavy,29.42,39.54,linear_increase
0.048561,156.5504,78.054,22.1303,100.0,156550442365.0995,849,2812.2,159675.0,31,1.95,1.46,6.64,front_heavy,6.84,57.68,linear_increase
0.048477,420.1476,138.659,23.9788,100.0,420147611086.5096,830,2876.6,267802.0,31,2.2,4.05,8.13,linear,14.12,50.4,linear_increase
0.048466,373.0697,136.3441,38.6341,100.0,373069664823.3734,780,3061.5,268607.0,30,1.5,7.44,8.06,back_heavy,28.84,37.82,pyramid
0.048461,246.3001,182.3377,34.6709,100.0,246300125739.5828,315,7446.3,530856.0,31,1.7,6.56,9.72,front_heavy,6.87,49.69,random
0.048435,854.4346,317.8134,24.9065,100.0,854434570996.9897,1184,2016.5,267828.0,29,1.75,2.7,4.38,random,6.72,61.99,random
0.04838,308.2725,177.7673,31.1637,100.0,308272453674.5075,2025,1179.3,94133.0,33,1.0,3.7,5.45,front_heavy,2.41,52.79,random
0.048117,617.1846,324.2294,23.1918,100.0,617184610864.101,513,4654.0,527086.0,33,2.6,5.12,5.92,back_heavy,30.3,30.3,flat
0.048103,641.849,386.9433,28.3701,100.0,641848950479.9176,460,4975.2,574702.0,32,1.95,4.7,6.02,geometric,5.11,56.3,random
0.048058,510.0021,278.7924,20.281,100.0,510002117053.4911,1525,1566.4,161360.0,30,1.85,3.32,7.53,back_heavy,8.9,57.77,pyramid
0.048039,286.2612,186.7513,22.6423,100.0,286261237367.5238,3383,706.0,54502.0,34,1.25,2.45,3.24,back_heavy,3.25,55.57,linear_increase
0.047931,289.1341,122.1407,30.2792,100.0,289134070169.5906,2361,1011.7,78574.0,31,1.05,0.95,4.63,front_heavy,9.28,56.77,pyramid
0.047792,672.3894,275.3859,23.2337,100.0,672389396775.1052,1058,2257.8,267799.0,31,1.95,3.6,5.17,back_heavy,19.06,46.33,pyramid
0.047772,743.9666,232.6492,25.2837,100.0,743966556168.5586,2950,809.7,101042.0,31,1.5,1.74,2.3,back_heavy,7.1,86.47,geometric_increase
0.04774,232.0454,119.0257,30.059,100.0,232045390175.5725,2121,1126.1,78513.0,33,1.15,4.4,6.43,geometric,7.21,54.84,pyramid
