score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
1.658719,362.2608,118.1502,10.5079,100.0,362260838874.7666,221,10935.2,161604.0,23,5.464,0.253,7.965,front_heavy,46.95,241.71,linear_increase
1.64224,1907.9325,527.2889,12.1942,100.0,1907932520790.391,309,7858.5,267856.0,25,5.422,1.431,3.677,linear,27.03,130.41,geometric_increase
1.640519,1920.5368,579.0434,8.3742,100.0,1920536825644.2068,307,7863.7,269059.0,11,6.605,1.518,6.49,front_heavy,10.25,254.2,pyramid
1.631478,2076.4068,523.0879,10.2961,100.0,2076406838441.0552,323,7517.8,268199.0,22,6.041,1.636,7.373,geometric,6.86,295.23,pyramid
1.631136,1323.579,499.11,8.2544,100.0,1323578955676.6504,256,9430.5,268636.0,16,6.617,1.207,6.181,front_heavy,34.08,204.37,pyramid
1.622973,1196.2134,300.8004,12.0526,100.0,1196213449187.3213,244,9894.3,268617.0,31,5.609,1.901,6.235,random,46.73,291.0,random
1.615263,1651.5785,564.8316,7.4697,100.0,1651578465155.0232,287,8411.8,268979.0,17,6.609,0.763,4.21,front_heavy,26.73,314.13,geometric_increase
1.613117,626.8595,194.0106,9.1596,100.0,626859492474.8386,295,8184.2,161334.0,31,6.788,1.692,7.035,random,14.41,180.86,pyramid
1.593168,1169.0292,678.7545,8.3823,100.0,1169029176830.5806,108,21257.2,575823.0,31,7.19,1.367,4.048,random,30.34,306.79,flat
1.592154,498.1948,124.6277,9.5864,100.0,498194816737.16,419,5761.4,101915.0,21,4.904,1.326,6.643,front_heavy,8.81,130.34,pyramid
1.587866,487.5025,150.1099,9.0964,100.0,487502540592.1521,261,9250.4,162085.0,27,7.017,1.86,7.296,random,18.41,236.34,linear_increase
1.587698,596.2753,194.4612,13.0386,100.0,596275329046.1366,293,8239.6,159678.0,19,4.496,1.398,7.618,front_heavy,49.15,165.72,linear_increase
1.583439,733.5167,205.0377,11.7222,100.0,733516688447.3788,324,7494.6,161307.0,27,5.368,0.782,6.671,random,18.34,169.44,geometric_increase
1.582353,1051.3499,431.5267,9.8399,100.0,1051349899400.807,385,6270.7,161637.0,22,4.973,1.217,4.931,front_heavy,27.82,133.94,pyramid
1.57969,944.7319,263.9596,13.6089,100.0,944731890972.203,209,10983.8,268609.0,22,5.287,1.596,7.04,front_heavy,14.17,49.92,flat
1.578377,2512.6988,587.4855,13.2818,100.0,2512698795960.406,358,6743.3,269053.0,11,4.998,1.027,6.179,front_heavy,33.57,288.29,random
1.573536,1966.483,471.9564,13.3135,100.0,1966482960077.8052,319,7576.4,267835.0,23,5.102,0.873,4.985,linear,49.38,287.66,geometric_increase
1.573362,1757.5793,539.6974,9.3629,100.0,1757579288415.576,300,8047.7,268978.0,16,6.226,0.377,5.339,random,22.6,233.7,geometric_increase
1.571747,478.716,158.2946,11.6955,100.0,478716031583.736,362,6678.5,116554.0,23,4.761,1.139,7.399,front_heavy,46.38,306.5,pyramid
1.568584,787.5466,232.3867,9.5154,100.0,787546618707.5083,202,11951.8,267804.0,26,6.681,1.201,5.779,random,24.99,102.86,linear_increase
1.565597,1733.6202,431.8808,11.1508,100.0,1733620190345.5269,300,8047.7,267800.0,20,6.252,1.368,7.323,back_heavy,6.42,125.79,geometric_increase
1.564331,2312.8531,586.5824,11.5461,100.0,2312853112717.936,346,6977.2,268281.0,17,5.061,1.198,3.484,front_heavy,26.67,73.2,linear_increase
1.562531,1075.9055,366.8264,9.4842,100.0,1075905516264.4432,395,6147.2,161305.0,24,5.703,1.448,4.118,random,20.46,268.57,linear_increase
1.560502,742.8245,213.5556,9.6232,100.0,742824478513.979,188,12311.6,268611.0,28,7.106,0.928,7.274,random,38.64,198.78,geometric_increase
1.558064,481.1288,132.4758,10.5832,100.0,481128829659.3993,326,7405.3,130131.0,22,5.117,0.291,7.484,front_heavy,42.02,291.82,pyramid
1.554535,641.7101,250.0968,9.5433,100.0,641710131927.6655,482,5037.5,102350.0,22,4.594,1.162,4.459,front_heavy,20.08,281.09,geometric_increase
1.544638,1373.6385,505.2563,8.8023,100.0,1373638485692.4998,268,9008.3,268637.0,14,6.088,0.835,5.984,front_heavy,7.56,46.59,geometric_increase
1.540569,444.0987,109.7992,12.1092,100.0,444098709293.1294,315,7664.5,130131.0,19,5.076,1.743,6.528,front_heavy,15.54,175.09,geometric_increase
1.539439,352.7671,92.796,10.9642,100.0,352767139565.5976,320,7544.7,114210.0,19,5.082,1.511,7.853,front_heavy,15.49,161.3,linear_increase
1.533752,744.2405,189.8314,14.5269,100.0,744240458318.5006,198,12194.1,268613.0,28,5.593,0.535,7.487,front_heavy,28.53,67.51,flat
1.527747,1207.9941,316.1915,12.2078,100.0,1207994120893.4514,243,9525.6,267854.0,26,5.706,1.525,6.248,linear,39.82,197.68,geometric_increase
1.519397,225.1017,67.7647,8.2916,100.0,225101702188.7572,175,13118.0,159669.0,24,7.84,1.332,6.584,front_heavy,9.74,255.81,geometric_increase
1.513879,2094.6031,586.4759,7.8343,100.0,2094603148061.2285,267,9094.6,338290.0,13,7.307,1.442,5.241,front_heavy,6.72,249.04,pyramid
1.508148,457.2406,181.7012,8.6045,100.0,457240573639.3737,264,9144.8,159230.0,24,5.901,0.753,7.3,front_heavy,38.61,288.98,pyramid
1.507116,358.319,114.8602,9.36,100.0,358319026777.786,230,10512.0,162086.0,30,6.543,0.856,7.082,front_heavy,5.43,39.28,pyramid
1.502787,582.3439,183.496,9.7076,100.0,582343875165.0618,467,5199.3,102349.0,21,4.61,0.981,5.337,front_heavy,25.36,280.37,linear_increase
1.491265,1286.91,544.6442,7.1421,100.0,1286909997031.5474,264,9144.7,268637.0,13,6.888,0.556,7.392,front_heavy,16.58,317.91,pyramid
1.490323,1516.4888,514.5551,8.7464,100.0,1516488760398.2617,287,8421.2,268630.0,18,6.286,1.848,3.819,front_heavy,32.09,246.92,geometric_increase
1.487928,2380.2342,579.0658,12.4203,100.0,2380234174490.8516,362,6707.6,268280.0,18,5.084,1.357,3.716,front_heavy,21.8,130.31,random
1.474547,1449.1333,533.5902,8.1862,100.0,1449133252062.731,282,8570.6,268679.0,18,6.214,0.755,4.381,front_heavy,16.32,114.68,geometric_increase
1.469548,561.7535,142.8306,10.8555,100.0,561753480112.7395,167,13738.6,268610.0,30,6.83,0.613,6.367,front_heavy,20.66,51.2,geometric_increase
1.464398,474.5705,159.203,9.3451,100.0,474570513770.8907,268,9008.8,162176.0,30,6.01,1.075,7.078,random,23.3,156.89,linear_increase
1.462469,873.9885,291.2148,10.5056,100.0,873988499904.9955,368,6598.4,161305.0,30,5.123,1.026,5.524,random,43.79,214.46,pyramid
1.459368,1931.5603,548.5307,14.6698,100.0,1931560342856.2544,327,7393.4,268979.0,16,4.301,1.155,5.1,front_heavy,14.39,50.16,flat
1.458373,2236.9178,529.5351,12.7956,100.0,2236917814478.246,353,6848.8,268229.0,24,4.987,1.326,7.226,geometric,36.03,260.56,pyramid
1.456545,406.728,120.2755,9.3272,100.0,406727964548.2672,250,9656.8,161371.0,29,6.831,1.473,7.75,random,18.71,275.6,linear_increase
1.451934,1073.1253,391.3334,11.3254,100.0,1073125261910.9698,411,5873.6,159682.0,14,4.638,0.559,7.266,random,32.82,227.59,linear_increase
1.450109,770.1233,228.5571,11.7354,100.0,770123338305.7957,430,5646.7,130130.0,29,4.758,1.881,3.375,front_heavy,23.0,170.27,geometric_increase
1.44404,1779.9157,469.7027,14.4276,100.0,1779915653685.8127,316,7650.8,268608.0,27,4.766,1.534,4.027,random,24.14,310.44,flat
1.44355,1205.9571,429.4399,9.9989,100.0,1205957103585.8848,435,5581.8,161334.0,23,5.214,1.357,4.344,linear,7.45,186.53,geometric_increase
1.427646,1181.8104,321.2313,16.9225,100.0,1181810411442.0176,259,9334.8,268578.0,20,4.333,0.691,7.186,front_heavy,25.98,183.28,random
1.42699,1343.6815,409.1089,8.2035,100.0,1343681542615.1218,277,8728.2,267831.0,28,7.519,1.509,4.886,random,19.25,355.56,pyramid
1.425072,1594.1353,389.9497,11.3498,100.0,1594135305360.9194,289,8008.6,267854.0,25,6.159,1.965,7.638,linear,18.16,118.39,pyramid
1.422544,1577.9479,530.5996,7.7028,100.0,1577947906510.6794,301,8067.4,268686.0,23,6.667,0.259,3.673,front_heavy,38.42,309.43,linear_increase
1.421464,2219.597,574.6729,10.0689,100.0,2219596979849.3286,137,17648.5,697392.0,15,7.203,0.705,7.458,random,10.28,27.17,pyramid
1.418441,770.8774,263.2636,12.2799,100.0,770877428670.3398,353,6848.8,159662.0,23,4.411,1.337,5.478,front_heavy,46.08,137.51,linear_increase
1.414104,1524.7309,479.5753,8.2093,100.0,1524730879789.8997,132,17536.9,575850.0,25,7.705,0.299,5.49,linear,6.5,291.87,linear_increase
1.410223,1608.8133,482.7039,13.9964,100.0,1608813255020.2036,304,7952.9,268617.0,14,4.491,0.729,7.824,front_heavy,31.22,313.73,random
1.408087,354.7748,138.5402,7.2929,100.0,354774779646.5884,240,10059.9,159682.0,30,7.046,1.366,6.104,front_heavy,13.2,215.35,pyramid
1.406588,2709.0608,615.1421,12.5698,100.0,2709060777302.681,313,7713.4,338512.0,16,5.088,0.608,7.246,random,34.73,154.23,pyramid
1.404576,700.3884,218.4575,10.25,100.0,700388370760.8274,528,4578.5,102240.0,26,4.46,1.797,4.586,front_heavy,18.9,187.71,pyramid
1.395342,1882.5921,566.4767,8.4232,100.0,1882592123172.8428,154,15677.3,575850.0,25,7.902,1.412,3.605,random,46.25,156.67,pyramid
1.390506,1823.2494,559.5043,14.7522,100.0,1823249373597.0825,325,7428.1,268977.0,11,3.954,1.569,6.934,front_heavy,8.97,51.36,random
1.390273,2431.5394,604.9042,8.8528,100.0,2431539395750.6685,300,8094.1,338500.0,14,6.755,1.048,3.627,front_heavy,14.14,269.55,linear_increase
1.383769,2465.6809,598.1344,10.8771,100.0,2465680893120.1533,303,8014.1,338292.0,15,5.837,0.324,5.668,random,38.27,195.39,pyramid
1.380946,1069.0388,289.1043,12.2538,100.0,1069038825937.1685,417,5797.5,161306.0,30,5.124,0.832,4.712,linear,11.33,259.24,geometric_increase
1.380472,1560.7434,526.1733,7.3574,100.0,1560743358462.5713,303,7967.6,267905.0,22,7.329,1.325,3.542,random,6.25,247.25,geometric_increase
1.377779,835.6849,472.4724,8.6317,100.0,835684947163.7823,99,23382.0,575854.0,30,7.196,0.368,7.107,linear,29.51,220.69,geometric_increase
1.377034,1312.2081,365.3161,11.1442,100.0,1312208112977.692,280,8676.2,267831.0,26,6.102,1.006,5.085,random,17.87,54.11,linear_increase
1.372766,1162.3098,336.4532,12.3825,100.0,1162309807335.48,438,5543.6,161307.0,27,4.797,1.456,4.857,random,44.17,224.05,linear_increase
1.372199,2062.5516,555.2434,11.0712,100.0,2062551636193.0437,351,6917.9,268205.0,22,5.481,1.156,3.462,front_heavy,40.79,126.19,pyramid
1.369039,1526.5949,412.3208,11.9809,100.0,1526594854548.366,301,8020.6,267830.0,28,5.557,1.145,4.387,random,30.61,55.98,pyramid
1.368115,2236.358,560.1883,9.2573,100.0,2236357981409.858,366,6634.3,268229.0,25,6.66,0.516,4.267,random,14.38,284.26,pyramid
1.365306,1983.9281,533.853,13.496,100.0,1983928147825.057,344,7028.0,267905.0,16,4.655,1.228,5.839,linear,22.19,139.81,geometric_increase
1.36261,1469.0255,404.4212,9.4007,100.0,1469025472979.9802,132,17536.7,575806.0,22,7.536,0.817,6.604,linear,47.3,292.89,geometric_increase
1.356022,1048.8875,268.2895,14.5892,100.0,1048887496682.9261,250,9657.0,268579.0,23,4.986,1.294,6.459,front_heavy,49.33,123.15,flat
1.350773,601.8707,215.502,10.8843,100.0,601870727772.2153,498,4847.6,102327.0,25,4.315,1.522,4.537,front_heavy,36.96,300.05,linear_increase
1.349687,1862.5042,523.8534,15.7987,100.0,1862504249662.4487,321,7210.6,267856.0,19,3.953,0.159,7.591,random,25.59,47.47,flat
1.338934,2042.0199,553.3348,15.7855,100.0,2042019946837.7405,352,6858.7,267851.0,39,4.194,0.218,2.79,random,48.58,325.38,random
1.338867,1405.0923,479.617,8.4423,100.0,1405092318488.0645,292,8267.6,267831.0,31,6.79,0.36,6.178,random,38.8,332.78,pyramid
1.33447,676.7839,224.9436,10.0591,100.0,676783888385.9398,339,7162.8,161307.0,26,5.882,0.878,7.248,random,35.93,426.6,pyramid
1.332051,936.7778,209.529,11.4508,100.0,936777790371.4344,712,3409.9,90426.0,33,4.087,1.303,3.147,front_heavy,20.01,189.35,pyramid
1.329785,1433.5737,472.3542,13.2006,100.0,1433573677459.016,296,8156.0,267790.0,22,4.798,0.421,5.383,front_heavy,32.02,261.52,flat
1.328535,913.2723,252.6632,12.3731,100.0,913272317772.958,237,10245.9,268637.0,30,5.441,1.696,6.941,random,31.64,78.12,random
1.327848,605.8096,160.6219,8.823,100.0,605809626507.2458,192,12574.3,268583.0,26,7.826,0.605,7.219,random,19.14,193.38,geometric_increase
1.323991,936.2284,241.457,14.1414,100.0,936228393728.58,239,10101.5,268617.0,30,5.216,1.432,7.341,random,41.05,55.71,pyramid
1.318624,1376.0383,508.388,7.7072,100.0,1376038313910.6636,292,8315.9,268635.0,17,7.108,1.206,5.634,front_heavy,17.08,257.04,pyramid
1.317057,1640.8333,387.2185,10.5982,100.0,1640833316144.6199,320,7588.1,267834.0,23,6.582,1.679,6.153,geometric,13.99,273.91,linear_increase
1.312263,1111.5201,405.0169,8.3873,100.0,1111520097825.3743,262,9227.9,268567.0,21,7.123,1.822,5.319,front_heavy,38.69,323.62,pyramid
1.311994,1927.2606,538.989,11.2502,100.0,1927260647416.7107,347,6997.6,268198.0,27,5.06,1.862,3.402,geometric,46.6,219.66,pyramid
1.305879,1152.2688,300.3387,11.1313,100.0,1152268827006.088,267,9041.9,268588.0,25,6.425,0.65,6.021,linear,10.55,285.24,geometric_increase
1.296961,746.0483,201.5337,14.0139,100.0,746048310155.829,205,11198.0,268572.0,30,5.191,0.868,7.053,front_heavy,44.85,171.52,random
1.295565,647.8951,180.1805,12.7627,100.0,647895115581.7076,201,12011.2,268603.0,23,5.535,0.836,7.739,front_heavy,23.71,45.74,geometric_increase
1.294251,1799.1678,498.6633,14.4465,100.0,1799167789120.9036,338,7184.1,267856.0,30,4.354,0.397,3.646,random,37.23,118.36,random
1.288808,359.8061,94.122,11.2189,100.0,359806133201.3024,144,16074.8,268587.0,30,7.146,0.807,7.924,front_heavy,28.38,100.22,geometric_increase
1.288666,555.8272,222.2497,8.2088,100.0,555827238608.6288,314,7688.4,159674.0,25,6.144,0.698,6.329,random,6.24,142.76,geometric_increase
1.277222,1691.0491,463.5424,13.9046,100.0,1691049127560.6333,328,7360.6,267831.0,21,4.413,0.504,5.8,random,39.19,147.01,flat
1.272703,427.1715,146.8853,10.9131,100.0,427171473289.9248,277,8715.5,159672.0,23,5.422,0.994,6.907,front_heavy,16.97,108.48,linear_increase
1.266222,597.7807,177.8624,11.7547,100.0,597780652047.3674,325,7438.9,161632.0,27,5.234,1.485,5.882,random,40.86,327.94,geometric_increase
1.258455,2210.6512,588.2564,8.3832,100.0,2210651224596.3135,301,8070.9,338268.0,24,6.501,0.612,2.437,front_heavy,10.67,111.23,linear_increase
1.258216,959.4675,250.4143,13.8576,100.0,959467500972.6042,236,9726.9,268605.0,25,5.188,0.564,6.443,front_heavy,19.53,211.6,flat
1.249949,1852.8397,511.0501,14.4292,100.0,1852839676145.726,347,6957.1,267856.0,21,4.475,1.413,4.175,front_heavy,24.44,329.1,flat
1.243105,2269.0181,580.1767,12.3109,100.0,2269018065278.5776,385,6279.5,268280.0,25,4.883,0.227,4.319,random,38.67,104.39,pyramid
